nama,address,phone,up,fax
Cipta Abadi,Ltc Lt 2 blok C 27 no 9,"62320234 , 62202191",,
Cipta Abadi,Ltc lt 2 blok C 27 no 9,"62320234,62202191",,
Cipta Mika,P. Tubagus Angke no 43,6395480 - 26300203,,
Cipta Mika Acrylic,Jl. I Gusti Ngurah Rai No. 1D,628128733868,,
Citra Mandiri AC,,,,
Citra Sukses Mandiri,LTC lt 1 blok B 15 No 7-8,0856 9427 1604,Bp Ulil,
Columbia,Kebon Jeruk III / 23,021-624-8465,,
Columbia Motor,ITC fatmawaty Lt 2 no.99,021-93177467,,
Corner Abadi Teknika,Gd. Blustru No.32-33,021 626 8517,,021 626 8429
Corner Abadi Teknika,Gd. Blustru No.32-33,085781390998,,62307200
Cottonesia,Jl RS fatmawati no 39 Jakarta Selatan,08159165009,,
CS Printing,Kampus A Universitas Negeri Jakarta Rawamangun,087820734523,,
CV Andalas,,087875200077,Ibu Selvi,
CV Berkah Lestari Jaya,Jl Hj Ten Raya No. 4 Rawamangun,085211665000,,
CV GAIVO Systemworks Indonesia,Ruko grand Boulevard blok U01A no 369 Citra raya Tangerang Banten,021 59645007,,
CV Gunung Mas,Tangerang,,,
CV Indocipta Akbar,Jl Raya Pulogebang No. 122b Cakung,085777665000,,
CV INTI TEKNIK,,021 5550431,,021 5557813
CV Jakarta Service,JL. KS Tubun No.4C Jakarta Barat,0821 1196 1843,,
CV Jaya Interior,Jl Pinangsia Raya No 16G Jakarta Barat,021 6240136,,
CV Karunia Jaya Tekindo,Komp Sentra Bisnis Blok SS 17 no 9 Kota Harapan Indah Bekasi,085219208998,,
CV Karunia Jaya Tekindo,Komp Sentra Bisnis Blok SS 17 no 9 Kota Harapan Indah Bekasi,085219208998,Bp. Hendra,
CV Karya Ram,"Jl Kamp. Babakan RT004/RW003 Desa Dayeuh, Kec. Cileungsi, Kab.Bogor",,,
CV Manunggal Jaya Abadi,"Jl. Mutiara Karawaci Raya No. F15, Tangerang",081210809090,,
CV Mekar Furniture,"Jl KH Hasyim Ashari No. 73 B - C, Cideng, Gambir",6313445,,
CV Samudera Bibit Indonesia,Grand Regency Blok C3-16,081382345511,,
CV Try Armindelia Tekhnik,Kp Duri Rt 03/ Rw 01 Tonjong TajurHalang - Bogor,085888519943,,
CV. Fajar Technic,"Kp. Pasir Gaok, Ds. Palasari, Kec.Legok Kab. Tangerang",021 598 66 60,,021 598 66 60
CV. Ganesha Abadi,Jl Raya Bougenville No 72 Komp Bumi Rawa Tembaga bekasi Barat,021 88852166,,
CV. Jakarta Service,Jl. KS Tubun 1 Gg.Kunir No.40 Jakarta Barat,,,
CV. Jakarta Service,Jl. KS Tubun 1 Gg.Kunir No.40 Jakarta Barat,0821 1196 1843,,
CV. Sejuk Mitra Teknik,,021 8076 8062,Bpk Andri,
CV. Sumber Makmur,"Gd. Metro Glodok, Jl. Blustru No.15/16/41",021 626 2130,,
CV. Wijaya Teknik,LTC lt 2 Blok C29 no 3-5,021 6282944,,
CV.Manunggal Jaya Abadi,Jl. Mutiara Karawaci raya No F 15  Tangerang,0813 8300 2900,,
Damario Inspiring Living,jl masjid Lio Rt 01/RW 14 No 16 Pancoran Mas  Depok,081210857809,,
Danish QA motor,"Jl. Raya Alternatif Cibubur, Cibubur point automotif center kios lt. dasar B.II",021 6084 2964,,
Danny Screen,Jl. Palmeriam no 8 jaktim,93084500,,32244955
Dare Photobooth,,08131116548,,
Daun Mas,Proyek pasar pagi SI no 23,021 6916244,,
Davilla Mandiri (shopee),,,,
"Denso Centra, PT",Jl. Pecenongan Raya 37B&41A Jak Pus,021 345 4125,,
Depo Listrik,Plaza Kenari mas lt LG A10-15,021-39841963/64,Ms IFONG,021-39845968
Depo Tehnik,Glodok Jaya,6255333,Ko Amin,
Depo Tehnik,Glodok Jaya,6255333,SIGIT,
Deselly Toko Bunga,Jl. Kemandoran II/23E Palmerah - JakSel,021 532 0601,,
Deselly Toko Bunga,Jl. Kemandoran II/23E Palmerah - JakSel,021 532 0601,Ibu Elis,
Deselly Toko Bunga,Jl. Kemandoran II/23E Palmerah - JakSel,021 532 0601,Ibu Elis/ Ibu Ratna,
Deselly Toko Bunga,Jl. Kemandoran II/23E Palmerah - JakSel,021 532 0601,Ibu Mariska,
Deselly Toko Bunga,Jl. Kemandoran II/23E Palmerah - JakSel,021 532 0601,"Ibu Rika,ibu erna,ibu Ratna,ibu elis",
DFSK Official Shopee,,,,
DFSK Tangerang,,55701819,Bp Zaid / Bp Afizz,
Diamond Jack,LTC Glodok GF2 Blok C10-11 No.1-9,021 6220 0770,,
Dian Prima,Ltc Glodok Lt 1 Blok B 1 No 7,021 2607 1391,,
DigiFlora,"Grha Adhi Media, Jl. Deplu Raya No.6, Bintaro",,,
Digio Digital,Jl. Cideng Barat No.21A JakPus,021 633 0950,Pak Nico,
Dinas Cipta Karya dan Penata Ruang,,0878 0819 1166,,
Dinas Tenaga Kerja dan Transmigrasi Pemprov Banten,Kawasan Pemprov Banten (KP3B) Jl Syekh Nawawi Al-Batani,0254267111,,
Ds Computer Solustion,Harco Mangga dua Block R no 29,0812 8818 6663,Pak Mustar,
Dua Putera,Jl. Krekot Jaya Molek Blok F No.2D-3D,021 380 3391,,021 345 9447
Dua Putra,Jl. Krekot Jaya Molek F/2D-3D,021 380 3391,,021 345 9447
DUNIA ELECTRIK,,6011903,Ibu SRi,
Dunia Motor,Jl. kebon Jeruk 3 No.48B,021 649 3993,,
Dunia Plastik Printing,Jl. Mawar V No. 45 RT 4/RW 2,6281287739442,,
Dunia pompa,,,,
Dunia Rak Minimarket,Pondok Alam Permai Blok E8 No. 22,082113647899,,
Dwijaya Filter,"Gedung Roxy Square Lt. 1 Blok A1 No. 2 Tomang, Jakarta Barat",083895359650,,
Dynami Makmur Lestari,Jl Raya Cakung Bekasi Km 23 no 62,,,
ecco stationery,,,,
ecco stationery,,021 6019 248,Bp. David / ibu Bina,021 6284212
Elco Electrical,LTC Glodok Lt GF2 Blok 21 no 3-5,021 6220 1015,,
Elco Electrical,LTC Glodok lt GF2 blok B 21 no 3-5,021 352 0373,,
Elco Electrical,LTC glodok Lt GF2 Blok B 21 no 3-5,6220 1015,,
Ervina Sari,,0821.1107 1828,,
Exo Stamp,Jl. Cideng Barat 41D,021 6385 5555,,021 6333 776
F2F,Mangga Dua Mall lt2,08158155985,Ferry,
Fajar Baru,Jl. Panglima Polim Raya No. 192D,,,
FARA Aluminium,Graha Siena 2 blok M16 No 20 Citra Raya Cikupa,089635195889,Dian,
Favorit,"Proyek Senen Blok !, Lt.2 No.F8-12",021 4251 750,,
Ferryndo Enterprise,,021 6220 1415,,
Ferryndo Enterprise,,021 6220 1415,,021 8233 645
Fery Tailor,,0856 8918 017,Bp. Ferry,
Feto (Tokopedia Offical Store),,,,
Floralbiss.id,,087808517566,Ibu Imelda,
Gama Electronic,,021 639 4930,,-
Gama Electronik,Glodok Makmur No.29C,021 6008584,,
Gamacom Tritama,jl caman raya no 72 pondok gede,085280752051,Pak Heru,
Ganda Jaya,,021 8393 2326,,
Giat Semangat,"Jl. Hayam Wuruk, Pertokoan Glodok Makmur 28A",021 659 0112,,
Global Electrindo,LTC Glodok,,,
Global elektrindo,LTC glodok GF 1,,,
Global elektrindo,Plaza kenari Mas F1 no 126,,,
Global elektrindo,Plaza kenari Mas F1 no 126,29369731,,29369730
Global Tehnik,Gedung Murata F/21 Lantai dasar Glodok Plaza,021 6121 292,,
Glodok CCTV,,021 624 0630,Bp. Aseng,
Graha Makmur,Gd Harco Glodok Lt GF1 Blok B No. 6-8,,,
Gramedia,,,,
Gramedia,Gajahmada,,,
Gramedia Gajah Mada,,,,
Grand Hosana,"LTC Glodok Lt.1 C-20, No.3",021 623 08 018,,
Grand Hosana,LTC Lt.1 C20/3,021 623 08 018,,
"Gree Adhi Perkasa, PT",Jl. Batu Ceper No.21,021 381 0775,,021 381 1929
Green Fog,,021 8770 2863,Bp. Andrea,
Gudang Cikupa,,,Bp Budiyanto,
Gudang Cikupa,,,Pak Budiyanto,
Gudang Cikupa,,,Pak Budiyanto/Pak Trimardiansyah,
Gudang Cikupa,,021 59400322,Pak Budiyanto,
Gudang Cikupa,,59400322,Pak Budiyanto/ Pak Tri,
Gudang Dimyati - Radio Dalam,,021 7279 9917,,
Gudang Dimyati Radio Dalam,Jl. Radio Dalam Raya No.18 Jakarta Selatan,,,
Gudang kardus JDS,Jl Raya Bogor Ciracas Jak Tim,,,
gudang pembangunan,,,,
Gudang Pembangunan,,021 6385 7486,Bp. Maryudi,
Gudang Pembangunan/ GLC,,021 6385 7486,Bp. Maryudi,
Gudang Purchasing PC,,,,
Gudang Purchasing PC,jl. Raya Pecenongan 55A,021-384-4076,Pak Maulana,
Gudang Purchasing PC,Jl. Raya Pecenongan no 55 A,021-3844076,,
Gudang Seragam,Jl  Dewi Sartika No 38 Depok,021 7757089,,
Guna Plastik,,021 385 1477,Cik Emma,021 345 2260
Guna Plastik,,021 385 1477,Cik Emma,021 345 5260
Guna Plastik,,021 385 1477,Cik Emma,021 385 1478
guntur electronic,LTC glodok lt 1,,,
Happy Plastik,Jl. KH. Mas Mansyur No.195,021 7070 5501,,
Happy Plastik,Jl. KH. Moh. Mansyur No.195,,,
Happy Plastik,Jl. KH. Moh. Mansyur No.195,021 633 8777,,
Happy Plastik,Jl. KH. Moh. Mansyur No.195,021 7070 5501,,
Happy plastik,PS Pagi Jembatan lima,,,
Harapan Baru,Jl. Pinangsia Raya No.17 Jakarta Barat,021 628 4859,,
Hendy Jaya Service,,021 969 99 117,,
Hypermart,,,,
Hypermart,,021 969 99 117,,
Hypermart,Gajah Mada,,,-
Hypermart,GajahMada,,,
Hypermart,GajahMada,,,-
Hypermart,Plaza Gajahmada,,,
Idea.ID,Jl. Gendeng GK 4 No. 177 Baciro,089529533470,,
Ikbal Advertising,Jl Raya Ps Minggu Km 19 No 67 Pejaten Jakarta Barat,021 25031802,,
IKEA,,,,
Immaco Electronic (Sarang Batery),Pertokoan Glodok Jaya Lt.dasar A/30,021 6597 889,,
In Jaya dunia Pompa air,Panglima polim,,,
Indah Led,LTC Glodok GF2 / Blok.B 16,0878 8216 6277,,
Indah Teknik,Glodok jaya Lantai dasar B/30,,,
Indah Teknik,Glodok jaya Lantai dasar B/30,021 6497 955,,
Indo Furniture,,021 633 0750,Bp. Alimin,021 633 0750
Indo Tehnik Mitra Pratama,LTC Glodok Lt.Gf.2 Blk.A/6,021 6232 0763,,
Indo Tehnik Mitra Pratama,LTC Glodok Lt.Gf.2 Blk.A/6,021 6232 0763,Bp. Alimin,
Indoacrylic,"Ruko Orlin Arcade, Blok RF 11, Kel. Buaran, KEc. Serpong, Tangsel",081311080059,,
Indra Florist,,0251 832 3252,Ibu Mimi,0251 835 62 66
Infiniti Safety,LTC GF1 B2/1,021 6220 1311,,
Inovasi Elektronik,Batujajar Regency 2 Blok AE No 25 Kab Bandung Barat,08122388023,Gilang G,
Inovasi Elektronik,Batujajar Regency 2 BlokAE No 25 Kab Bandung Barat,08122388023,Gilang G,
Intan Florist Bandung,"Jl Soma 1, Bandung",081222833796,,
Inter Jaya,ITC Mangga Dua  GD JICT Lt II Blok D,6120389,Ibu Leni,
Inter Pompa Marfindo,,,,
Inti Raharja Motor,"Jl. Anggrek Rosliana VII/17, Komp. kijang kencana, Slipi JakBar",021 536 0115,Bp. Agus Handoyo,
IOSA Teknik,LTC Lantai GF 1 Blok RB1 No. 01,087885821818,,
Isak Billiard,P Jayakarta,021 6290020,,
IT COMM,"Ruko Sastra Graha No.22, Jl. Raya Pejuangan Kav.21 Kebon Jeruk - Jakarta Barat",021 533 33 48,Bp. Royadi,
ITOBATT,,,,
Jagoan Masker,Jl Babaran No 14 Umbulharjo Yogyakarta,0895418244442,,
Jawa Advertising,Jl Utan Panjang III no 1D Jakarta Pusat,021 2147 0058,,
Jawa Indie Motor,jl. Kramat raya no 17,31926429,bp. yatno / joko,31926430
"Jawa Indie Motor, PT",Jl. Kramat Raya No.17 JakPus,021 3192 7477,,021 390 7764
"Jawa Indie Motor, PT",Jl. Kramat Raya No.17 JakPus,021 3192 7477,bp Rodi,021 390 7764
Jaya Electric Jakarta,LTC glodok,,,
Jaya electronik,LTC Glodok,,,
Jaya electronik,LTC Glodok GF1 Blok A21 no 7,,,
Jaya Indah,P senen Lt II C no 26-28,42880630,Ibu Lina,
Jaya Lestari,Pasar  Kenari AKS No 189 B Lt Dasar,31925915,,
Jaya Mandiri Sentosa,LTC Glodok Lt.UG / C6 No.1-9,021 6220 1756,,
Jaya Mandiri Sentosa CV,,0811 900 7116,,
Jaya Metropolitan,Jl. Pinagsia Raya No.23-35,021 626 55 36,Bp. Jusuf Chandra,
Jaya Sempurna,Gedung Murata No.20,021 6220 4102,,
Jaya Sentosa,Jl. Pangeran Jakarta,021 6264788,Bu Sella,
Jaya Sentosa,Jl. Pangeran Jakarta,021 6264788,Bu Sella,021 649 5081
Jaya Sentosa,Jl. Pangeran Jakarta,021 6264788,Bu Sella,021 6495081
JAYAMIKA,Jl. Mangga Besar 1 Dalam No.2A,021 629 7266,Cik Yanti,
Jayanti,,021 654 3189,Cik Yanti,
Jayanti Metropolitan,Jl. Pinagsia Raya No.23-35,021 626 55 36,Bp. Jusuf Chandra,
Jayanti Motor,,021 654 3189,Cik Yanti,
jayapura Motor,Blok M Mall lantai Basement Blok A no 18 Jakarta Selatan,,,
Jembatan Lima,Glodok,,,
JMS Motor,Jl. Pembangunan Raya III,021 9618 8970,Bp. Rizal,
JNS,,08161876507,,
Joyko (Shopee),,,,
JS Safety,Jl Raya Serang Km 13 No.8F Cikupa Tangerang,0811 8989 588,Andre,
JS Sign,Jl. Raya Wenditat Barat No. 2,081295200664,,
karangan bunga Palembang,,08114108979,Amran,
KARYA - LESTARI,,021 9234 9898,Bp. Kamta,021 422 6148
Karya Dharma,"Blok 1 Lt2, No B8-11 proyek senen",021 422 1362,,
Karya Lestari,,021 9234 9898,,-
KARYA LESTARI,,021 9234 9898,Bp. Kamta,021 422 6148
Karya Lestari,,0812 8888 410,Bp. Kamta,021 422 6148
"Karya Teknik Service, PT",Jl. Kapuk Muara (Ruko Duta Muara Indah A/3)-Kapuk JakUt (samping Gerbang villa kapuk mas),021 540 6325,Bp. Talip,021 540 6325
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,"Bp, Ignatius Budiyanto",
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Ibu. Siti Hadita,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Miss Novaria Hutapea,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Miss. Anila Admadja,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Miss. Fransiska Maria,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Miss. Novaria Hutapea,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Mr Eky Noviansyah,
"Kawan Lama Sejahtera, PT","Gd. Kawan Lama, Jl. Puri Kencana No.1 Meruya - Kembangan",021 582 82 82,Pak Taufan,
"Kawan Lama Sejahtera, PT","Jl. Puri Kencana, No.1 Maruya - JAKBAR",021 582 9133,Miss Fransisca Gobe - Service,
Kawanna Agency & Florist,Jl. Jend Sudirman 96 Sukabumi,0266 224361,Ibu Yuthea,
KD Komputer,Mangga Dua Mall Lt x blok c No 149,021-6120569,Bp Alvian,
KDK (Official Store Shopee),,,,
Keboon,"Jl sinyar 3 no 12, duri Pulo, kec. Gambir, Jakarta Pusat, 10140",085697882407,,
Ken Electric,,021 600 9071,,
Kharisma Elektrik,081807780714,,,
Kian Maju,,,,
Kian Maju,Gd. ITC Mangga Dua Lt.1 E2/110,021 623 00 425,,021 60 16 136
Kian Maju,Gd. ITC Mangga Dua Lt.1 E2/110,021 623 00 425,Ibu Sumi,021 60 16 136
Kios Cepat,Jl Mangga VI No 335 Duri Kepa Jakarta Barat,081931059183,Ibu Angel,
"Kios Lt.1 No,91",glodok plaza ruko blok.F/91,021 6220 4103,,
Kota Mas,Glodok Plaza B1 F/51 Pinangsia Raya,6494528,,Ibu Anies
Kota Mas,Glodok Plaza B1 F/51 Pinangsia Raya,6494528,Ibu Anies,-
Kumala Sakti,Jl Kr Pulo Senen Jak Pus,021 3106893,,
"Kundalini Saktisejati, PT",,,,
Kurnia Jaya,Glodok Makmur No.30 H-1,021 6220 2073,,
Kusuma AC,,021 344 2292,Bp. Alio,
Kusuma Auto AC,Jl Raya Krekot Bunder no. 20,,,
Kusuma Auto Air Conditioning,Jl. Raya Krekot Bunder No.20,021 344 2292,,
Kusuma Motor,Jl pasar Mobil Kemayoran Blok A 12a,021 99793080,"Bu Ming""",
"Laris Chandra, PT",,021 629 1808,,
"Laris Chandra, PT",,021 629 1808,ko iyong,6676789
Laskar Safety,Pasar Kenari,021 23951113,,
Lautan Ban,Cimone,5588299,,6282170001198
Lautan Ban,"Jl Gatot Subroto No. 28, Uwung Jaya, Tangerang",5588299,,
Lazada,,,,
Libra Mas,Jl. Pluit Utama No.19 Komplek Sanken Blok E/No.9-11 Jakarta Utara,021 6624 744,Bp. Rahman,
Liez Florist,Jl. Martadireja II/1001&1002 (Depan RS Sinar Kasih) Purwokerto Ja-Teng,0281 641 931,Ibu Parmi,0281 622 532
Limpah Mas,Jl Mangga Besar 1 No 90 Jakarta Barat,62302624,LIAN,
lina Electronics,LTC Lt 2 Blok C21 No 1 & 2,021 62317713,Liina,
lina Electronics,LTC Lt 2 Blok C21 No 1 & 2,08128846033,Lina,
Logam Mas,Gd. Glodok Jaya Lt.dasar C10/34-35,021 659 6078,,021 659 6107
Luna,LTC glodok lt 2 no 5-6,6292869,,6268940
luna Electronics,,,Liina,
luna Electronics,,,Luna,
Maju Jaya,Jl. Bursan Mobil Kemayoran E29/30,021 654 3029,,
Maju Jaya,Jl. Pinangsia Raya No.107,021 600 6084,Mba Utari,021 600 6085
Makmur Jaya,,089517884891,,
Mandiri Baru (Shopee),,,,
Mandiri Jaya Ban,margonda Raya No 39 Depok,,,
Mandiri Jaya Plastik,,0812 8833 7657,Bp. Ronie,
Mandiri Jaya Plastik,,0812 8833 7667,Bp. Ronie,
Mandiri Jaya Plastik,,0813 8833 7667,Bp. Ronie,
